NUMBER,NAME,DESCRIPTION,PRICE_NET
3124125,Besteckset Schwarz,Ein 24-teiliges Besteckset in mattem Schwarz,35.00
3124126,Glas Weißwein,Ein Kristallglas für Weißwein,20.00
3124127,Pfanne Antihaft,Eine große Antihaft-Pfanne,45.00
3124128,Salatschleuder Groß,Eine praktische Salatschleuder,30.00
3124129,Brotmesser Edelstahl,Ein scharfes Brotmesser aus Edelstahl,25.00
3124130,Wasserkocher Rot,Ein elektrischer Wasserkocher in Rot,60.00
3124131,Espressokocher Italienisch,Traditioneller italienischer Espressokocher,40.00
3124132,Mikrowelle Digital,Eine digitale Mikrowelle mit Grillfunktion,150.00
3124133,Backform Herz,Eine herzförmige Backform,15.00
3124134,Frühstücksbrettchen Holz,Ein rustikales Frühstücksbrettchen aus Holz,10.00
3124135,Obstschale Metall,Eine große Obstschale aus Metall,30.00
3124136,Teekanne Keramik,Teekanne aus weißer Keramik,35.00
3124137,Gewürzregal Modern,Modernes Gewürzregal für 16 Gewürze,50.00
3124138,Pizzastein Rund,Runder Pizzastein mit Pizzaschaufel,45.00
3124139,Weinglas Set,Ein Set von vier Weingläsern,40.00
3124140,Geschirrspüler Edelstahl,Energiesparender Geschirrspüler,500.00
3124141,Küchenwaage Digital,Digitale Küchenwaage mit LCD-Anzeige,25.00
3124142,Toaster Retro,Toaster im Retro-Design für zwei Scheiben,50.00
3124143,Eiswürfelform Silikon,Eiswürfelform aus Silikon für 15 Eiswürfel,10.00
3124144,Schneidebrett Bambus,Schneidebrett aus nachhaltigem Bambus,20.00
3124145,Geschirrtuch Set,Ein Set von drei Geschirrtüchern,15.00
3124146,Eierkocher Kompakt,Kompakter Eierkocher für 7 Eier,30.00
3124147,Brotbox Holz,Brotbox aus Holz mit Schneidebrett als Deckel,50.00
3124148,Küchenrollenhalter Edelstahl,Küchenrollenhalter aus Edelstahl,15.00
3124149,Flaschenöffner Wand,Wandmontierter Flaschenöffner,10.00
3124150,Salz- und Pfefferstreuer,Ein Set von Salz- und Pfefferstreuer,15.00
3124151,Schüsselset Keramik,Dreiteiliges Schüsselset aus Keramik,30.00
